"family.id" "perceiver.id" "target.id" "anx"
1 "c" "f" 1
1 "c" "m" 1
1 "c" "y" 1.16666666666667
1 "f" "c" 1.5
1 "f" "m" 1
1 "f" "y" 1.83333333333333
1 "m" "c" 1.5
1 "m" "f" 1
1 "m" "y" 1.5
1 "y" "c" 1.5
1 "y" "f" 3.5
1 "y" "m" 3.83333333333333
2 "c" "f" 2.33333333333333
2 "c" "m" 3.5
2 "c" "y" 3.66666666666667
2 "f" "c" 2.16666666666667
2 "f" "m" 2.33333333333333
2 "f" "y" 2.16666666666667
2 "m" "c" 2
2 "m" "f" 2.16666666666667
2 "m" "y" 2.16666666666667
2 "y" "c" 2
2 "y" "f" 2
2 "y" "m" 2
3 "c" "f" 1
3 "c" "m" 1.16666666666667
3 "c" "y" 1.93055555555556
3 "f" "c" 1.33333333333333
3 "f" "m" 1
3 "f" "y" 2
3 "m" "c" 1.33333333333333
3 "m" "f" 1.16666666666667
3 "m" "y" 1
3 "y" "c" 1.83333333333333
3 "y" "f" 3.33333333333333
3 "y" "m" 3.66666666666667
4 "c" "f" 2.5
4 "c" "m" 2.33333333333333
4 "c" "y" 3
4 "f" "c" 1.33333333333333
4 "f" "m" 1.16666666666667
4 "f" "y" 2
4 "m" "c" 2.16666666666667
4 "m" "f" 3.33333333333333
4 "m" "y" 3.16666666666667
4 "y" "c" 1
4 "y" "f" 2
4 "y" "m" 2.32959641255605
5 "c" "f" 1
5 "c" "m" 1
5 "c" "y" 1
5 "f" "c" 1.33333333333333
5 "f" "m" 1.33333333333333
5 "f" "y" 1.33333333333333
5 "m" "c" 1
5 "m" "f" 1.16666666666667
5 "m" "y" 1
5 "y" "c" 1.66666666666667
5 "y" "f" 1.33333333333333
5 "y" "m" 2
6 "c" "f" 2
6 "c" "m" 1.33333333333333
6 "c" "y" 2.16666666666667
6 "f" "c" 2
6 "f" "m" 2.83333333333333
6 "f" "y" 1.83333333333333
6 "m" "c" 1.83333333333333
6 "m" "f" 1.5
6 "m" "y" 2
6 "y" "c" 2.5
6 "y" "f" 2.83333333333333
6 "y" "m" 2
7 "c" "f" 2.16666666666667
7 "c" "m" 1.5
7 "c" "y" 1.16666666666667
7 "f" "c" 1.66666666666667
7 "f" "m" 2
7 "f" "y" 2
7 "m" "c" 1
7 "m" "f" 1
7 "m" "y" 1.16666666666667
7 "y" "c" 2
7 "y" "f" 1.83333333333333
7 "y" "m" 1.66666666666667
8 "c" "f" 1
8 "c" "m" 1
8 "c" "y" 1
8 "f" "c" 3.16666666666667
8 "f" "m" 1
8 "f" "y" 2.83333333333333
8 "m" "c" 1
8 "m" "f" 1
8 "m" "y" 1
8 "y" "c" 1
8 "y" "f" 2.33333333333333
8 "y" "m" 1.33333333333333
9 "c" "f" 1.16666666666667
9 "c" "m" 1
9 "c" "y" 1
9 "f" "c" 1
9 "f" "m" 2.16666666666667
9 "f" "y" 1.16666666666667
9 "m" "c" 1.33333333333333
9 "m" "f" 3.33333333333333
9 "m" "y" 2.33333333333333
9 "y" "c" 1.33333333333333
9 "y" "f" 1
9 "y" "m" 1
10 "c" "f" 1
10 "c" "m" 1
10 "c" "y" 1.16666666666667
10 "f" "c" 1.5
10 "f" "m" 1.83333333333333
10 "f" "y" 1
10 "m" "c" 1.5
10 "m" "f" 1.83333333333333
10 "m" "y" 2.16666666666667
10 "y" "c" 1.66666666666667
10 "y" "f" 1.16666666666667
10 "y" "m" 1.5
11 "c" "f" 1
11 "c" "m" 1
11 "c" "y" 1.16666666666667
11 "f" "c" 1.16666666666667
11 "f" "m" 1.16666666666667
11 "f" "y" 1.16666666666667
11 "m" "c" 1
11 "m" "f" 1
11 "m" "y" 1
11 "y" "c" 1.16666666666667
11 "y" "f" 1
11 "y" "m" 1
12 "c" "f" 2.5
12 "c" "m" 2
12 "c" "y" 3
12 "f" "c" 3.16666666666667
12 "f" "m" 3
12 "f" "y" 2.83333333333333
12 "m" "c" 3.33333333333333
12 "m" "f" 3.83333333333333
12 "m" "y" 3.16666666666667
12 "y" "c" 3
12 "y" "f" 2
12 "y" "m" 1.83333333333333
13 "c" "f" 1.5
13 "c" "m" 1.5
13 "c" "y" 1.5
13 "f" "c" 1.66666666666667
