"family.id" "actor.id" "partner.id" "dep1" "dep2"
1 "c" "f" 5 5
1 "c" "m" 5 5
1 "c" "y" 4.66666666666667 5
1 "f" "c" 4 3.66666666666667
1 "f" "m" 4.33333333333333 4.33333333333333
1 "f" "y" 2.33333333333333 2
1 "m" "c" 5 5
1 "m" "f" 5 5
1 "m" "y" 5 5
1 "y" "c" 4.66666666666667 4.66666666666667
1 "y" "f" 2 3.33333333333333
1 "y" "m" 3.33333333333333 3.66666666666667
2 "c" "f" 3.66666666666667 4
2 "c" "m" 3.33333333333333 2.66666666666667
2 "c" "y" 2.66666666666667 3
2 "f" "c" 4.33333333333333 4
2 "f" "m" 3.66666666666667 4
2 "f" "y" 4 3.66666666666667
2 "m" "c" 4.33333333333333 4
2 "m" "f" 3.66666666666667 3.33333333333333
2 "m" "y" 3.66666666666667 3.66666666666667
2 "y" "c" 4 4
2 "y" "f" 3.33333333333333 3.66666666666667
2 "y" "m" 3.66666666666667 3.33333333333333
3 "c" "f" 4.33333333333333 5
3 "c" "m" 4 5
3 "c" "y" 4.66666666666667 4.25730994152047
3 "f" "c" 3 4.66666666666667
3 "f" "m" 5 5
3 "f" "y" 4 3.66666666666667
3 "m" "c" 4 4.33333333333333
3 "m" "f" 5 5
3 "m" "y" 4 4.66666666666667
3 "y" "c" 5 5
3 "y" "f" 2.33333333333333 3
3 "y" "m" 2.66666666666667 3
4 "c" "f" 3.66666666666667 3.66666666666667
4 "c" "m" 4 3.66666666666667
4 "c" "y" 2.66666666666667 3
4 "f" "c" 4.33333333333333 4.66666666666667
4 "f" "m" 5 5
4 "f" "y" 4.33333333333333 4
4 "m" "c" 3.66666666666667 4
4 "m" "f" 3 3.66666666666667
4 "m" "y" 3 2
4 "y" "c" 4.33333333333333 3.66666666666667
4 "y" "f" 3.66666666666667 3
4 "y" "m" 3 3
5 "c" "f" 4.33333333333333 5
5 "c" "m" 4.33333333333333 5
5 "c" "y" 3.66666666666667 3.66666666666667
5 "f" "c" 5 4.66666666666667
5 "f" "m" 5 4.66666666666667
5 "f" "y" 5 4.66666666666667
5 "m" "c" 4.66666666666667 4.33333333333333
5 "m" "f" 5 5
5 "m" "y" 4.66666666666667 4.33333333333333
5 "y" "c" 5 4.66666666666667
5 "y" "f" 4 3.66666666666667
5 "y" "m" 3.66666666666667 2.33333333333333
6 "c" "f" 4.66666666666667 4
6 "c" "m" 4.33333333333333 4
6 "c" "y" 3.33333333333333 3
6 "f" "c" 4 4
6 "f" "m" 4.66666666666667 4
6 "f" "y" 3.33333333333333 4.66666666666667
6 "m" "c" 3.66666666666667 3.33333333333333
6 "m" "f" 4 3.33333333333333
6 "m" "y" 3 3.66666666666667
6 "y" "c" 3.33333333333333 3.33333333333333
6 "y" "f" 2.33333333333333 3
6 "y" "m" 3.66666666666667 4
7 "c" "f" 4.33333333333333 4.33333333333333
7 "c" "m" 5 5
7 "c" "y" 5 5
7 "f" "c" 4 4
7 "f" "m" 4 4
7 "f" "y" 4 3.33333333333333
7 "m" "c" 4 5
7 "m" "f" 1.66666666666667 1.66666666666667
7 "m" "y" 4.66666666666667 5
7 "y" "c" 4 3.33333333333333
7 "y" "f" 4.33333333333333 4
7 "y" "m" 4.66666666666667 4.33333333333333
8 "c" "f" 5 5
8 "c" "m" 5 5
8 "c" "y" 5 5
8 "f" "c" 3.33333333333333 3.66666666666667
8 "f" "m" 5 5
8 "f" "y" 4 2.33333333333333
8 "m" "c" 4 5
8 "m" "f" 5 3.66666666666667
8 "m" "y" 5 5
8 "y" "c" 4.33333333333333 5
8 "y" "f" 4.66666666666667 3.66666666666667
8 "y" "m" 5 5
9 "c" "f" 4.66666666666667 4.66666666666667
9 "c" "m" 5 5
9 "c" "y" 4.66666666666667 3.66666666666667
9 "f" "c" 4 4.66666666666667
9 "f" "m" 2.66666666666667 4
9 "f" "y" 4 4
9 "m" "c" 4.66666666666667 4.33333333333333
9 "m" "f" 2.66666666666667 3.33333333333333
9 "m" "y" 3 3
9 "y" "c" 4.33333333333333 3.66666666666667
9 "y" "f" 4.66666666666667 4.66666666666667
9 "y" "m" 5 4.33333333333333
10 "c" "f" 4 3.66666666666667
10 "c" "m" 3.66666666666667 5
10 "c" "y" 3.33333333333333 3.66666666666667
10 "f" "c" 3.33333333333333 4.33333333333333
10 "f" "m" 4.66666666666667 5
10 "f" "y" 3.33333333333333 4
10 "m" "c" 5 5
10 "m" "f" 3 3
10 "m" "y" 4 4.33333333333333
10 "y" "c" 4 3
10 "y" "f" 4.33333333333333 4
10 "y" "m" 4 4
11 "c" "f" 5 5
11 "c" "m" 3.66666666666667 5
11 "c" "y" 5 5
11 "f" "c" 5 5
11 "f" "m" 5 5
11 "f" "y" 5 5
11 "m" "c" 3.66666666666667 5
11 "m" "f" 5 5
11 "m" "y" 5 5
11 "y" "c" 5 5
11 "y" "f" 5 5
11 "y" "m" 5 5
12 "c" "f" 3.66666666666667 3
12 "c" "m" 3.33333333333333 3.66666666666667
12 "c" "y" 4 3.66666666666667
12 "f" "c" 2.66666666666667 3.33333333333333
12 "f" "m" 2.33333333333333 3.69185185185185
12 "f" "y" 3 4
12 "m" "c" 3 3
12 "m" "f" 3.66666666666667 3.33333333333333
12 "m" "y" 3.66666666666667 2.66666666666667
12 "y" "c" 4 4
12 "y" "f" 3.33333333333333 5
12 "y" "m" 3.33333333333333 4.66666666666667
13 "c" "f" 4.66666666666667 4.66666666666667
13 "c" "m" 5 5
13 "c" "y" 4 4
13 "f" "c" 3.66666666666667 3.33333333333333
13 "f" "m" 4 4
13 "f" "y" 3.7437037037037 3.69990367048663
13 "m" "c" 3.66666666666667 3.66666666666667
13 "m" "f" 3.66666666666667 3.66666666666667
13 "m" "y" 3.66666666666667 3.66666666666667
13 "y" "c" 3 3.33333333333333
13 "y" "f" 3.66666666666667 4
13 "y" "m" 4 4
14 "c" "f" 4 5
14 "c" "m" 4 4.66666666666667
14 "c" "y" 4.66666666666667 5
14 "f" "c" 5 5
14 "f" "m" 5 5
14 "f" "y" 5 3.66666666666667
14 "m" "c" 4.33333333333333 3
14 "m" "f" 2.66666666666667 3.33333333333333
14 "m" "y" 4 3.33333333333333
14 "y" "c" 4.33333333333333 4.66666666666667
14 "y" "f" 4 4.33333333333333
14 "y" "m" 5 5
15 "c" "f" 4.39473684210526 4.33333333333333
15 "c" "m" 4.33333333333333 4.66666666666667
15 "c" "y" 4.33333333333333 4.33333333333333
15 "f" "c" 5 5
15 "f" "m" 5 5
15 "f" "y" 5 5
15 "m" "c" 4.66666666666667 4.66666666666667
15 "m" "f" 5 5
15 "m" "y" 5 4
