"family.id" "actor.id" "partner.id" "anx1" "anx2"
1 "f" "m" 1 1
1 "f" "y" 1.66666666666667 2
1 "m" "f" 1 1
1 "m" "y" 1.66666666666667 1.33333333333333
1 "y" "f" 3 4
1 "y" "m" 4.66666666666667 3
2 "f" "m" 2.33333333333333 2.33333333333333
2 "f" "y" 1.66666666666667 2.66666666666667
2 "m" "f" 2 2.33333333333333
2 "m" "y" 2.33333333333333 2
2 "y" "f" 2 2
2 "y" "m" 2 2
3 "f" "m" 1 1
3 "f" "y" 2.33333333333333 1.66666666666667
3 "m" "f" 1.33333333333333 1
3 "m" "y" 1 1
3 "y" "f" 3.33333333333333 3.33333333333333
3 "y" "m" 3 4.33333333333333
4 "f" "m" 1.33333333333333 1
4 "f" "y" 2.33333333333333 1.66666666666667
4 "m" "f" 3.33333333333333 3.33333333333333
4 "m" "y" 3 3.33333333333333
4 "y" "f" 2.33333333333333 1.66666666666667
4 "y" "m" 2.65919282511211 2
5 "f" "m" 1.33333333333333 1.33333333333333
5 "f" "y" 1.33333333333333 1.33333333333333
5 "m" "f" 1.33333333333333 1
5 "m" "y" 1 1
5 "y" "f" 1 1.66666666666667
5 "y" "m" 1.66666666666667 2.33333333333333
6 "f" "m" 2.33333333333333 3.33333333333333
6 "f" "y" 2 1.66666666666667
6 "m" "f" 1.66666666666667 1.33333333333333
6 "m" "y" 2.33333333333333 1.66666666666667
6 "y" "f" 2.66666666666667 3
6 "y" "m" 2 2
7 "f" "m" 2 2
7 "f" "y" 2 2
7 "m" "f" 1 1
7 "m" "y" 1.33333333333333 1
7 "y" "f" 2 1.66666666666667
7 "y" "m" 1.66666666666667 1.66666666666667
8 "f" "m" 1 1
8 "f" "y" 3.33333333333333 2.33333333333333
8 "m" "f" 1 1
8 "m" "y" 1 1
8 "y" "f" 2.66666666666667 2
8 "y" "m" 1 1.66666666666667
9 "f" "m" 1.66666666666667 2.66666666666667
9 "f" "y" 1.33333333333333 1
9 "m" "f" 3.33333333333333 3.33333333333333
9 "m" "y" 2.33333333333333 2.33333333333333
9 "y" "f" 1 1
9 "y" "m" 1 1
10 "f" "m" 2 1.66666666666667
10 "f" "y" 1 1
10 "m" "f" 2.33333333333333 1.33333333333333
10 "m" "y" 2 2.33333333333333
10 "y" "f" 1.33333333333333 1
10 "y" "m" 1.66666666666667 1.33333333333333
11 "f" "m" 1.33333333333333 1
11 "f" "y" 1.33333333333333 1
11 "m" "f" 1 1
11 "m" "y" 1 1
11 "y" "f" 1 1
11 "y" "m" 1 1
12 "f" "m" 3 3
12 "f" "y" 2.66666666666667 3
12 "m" "f" 3.33333333333333 4.33333333333333
12 "m" "y" 3 3.33333333333333
12 "y" "f" 2 2
12 "y" "m" 1.66666666666667 2
13 "f" "m" 2 2
13 "f" "y" 2.11244047619048 1.94899769724882
13 "m" "f" 1 1.33333333333333
13 "m" "y" 1 1.33333333333333
13 "y" "f" 2.33333333333333 2.33333333333333
13 "y" "m" 2 2
